About,Director,Writers,category,duration,movie_type,number_of_vote,rating,recommendation,title
"
                    A group of doctors at Chastain Memorial Hospital face personal and professional challenges on a daily basis.
            ",Amy Holden Jones,"Matt Czuchry,Emily VanCamp,Manish Dayal,See full cast & crew",Drama,"
                        1h
                    ",Serie,"16,880",7.6,"New Amsterdam,9-1-1,Chicago Med,Station 19,FBI,Chicago P.D.,The Good Doctor,Chicago Fire,9-1-1: Lone Star,S.W.A.T.,The Rookie,Bull",The Resident             
"
                    A sharp-witted Marine veteran becomes a private investigator in Portland, Oregon, where she takes care of her brother who has down syndrome.
            ",Greg Rucka,"Cobie Smulders,Jake Johnson,Tantoo Cardinal,See full cast & crew",Crime,"
                        44min
                    ",Serie,"6,737",7.5,"Prodigal Son,Lincoln Rhyme: Hunt for the Bone Collector,Emergence,Evil,FBI: Most Wanted,All Rise,Deputy,9-1-1: Lone Star,Bluff City Law,Tommy,FBI,The Rookie",Stumptown             
"
                    Based on the novel by Pulitzer-winner Annie Proulx, BARKSKINS follows a disparate group of outcasts who must navigate brutal hardships, competing interests, and tangled loyalties at the crossroads of civilization- late 1600s New France.
            ",Elwood Reid,"Steven McCarthy,James Bloor,David Wilmot,See full cast & crew",Drama,,Serie,128,6.8,"Legendary,Grant,Opeka,Invisible River,Hightown,Laurel Canyon,Double Cross,Dead Still,Bad Dad,The Woods,The Old Guard",Barkskins             
"
                    The son of a Colorado rancher returns home from a semi-pro football career to run the family business.
            ",Jim Patterson,"Ashton Kutcher,Sam Elliott,Grady Lee Richmond,See full cast & crew",Comedy,"
                        30min
                    ",Serie,"31,838",7.5,"That '70s Show,Two and a Half Men,Grace and Frankie,Last Man Standing,The Good Place,How I Met Your Mother,Brooklyn Nine-Nine,The Fresh Prince of Bel-Air,New Girl,Shameless,The Big Bang Theory,Everybody Loves Raymond",The Ranch             
"
                    A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him.
            ",David E. Kelley,"Billy Bob Thornton,Tania Raymonde,Nina Arianda,See full cast & crew",Drama,"
                        1h
                    ",Serie,"30,641",8.2,"Bosch,Sneaky Pete,Tom Clancy's Jack Ryan,Hand of God,Justified,The Night Manager,The Killing,The Man in the High Castle,StartUp,Ray Donovan,The Americans,The Fall",Goliath             
"
                    Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.
            ",Sam Taylor-Johnson,"Kelly Marcel,E.L. James",Drama,"
                        2h 5min
                    ",Movie,"290,490",4.1,"Fifty Shades Darker,Fifty Shades Freed,Twilight,After,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Eclipse,The Twilight Saga: New Moon,Me Before You,Titanic,The Notebook,Friends with Benefits",Fifty Shades of Grey 
"
                    12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.
            ",Nicolai Fuglsig,"Ted Tally,Peter Craig,1 more credit",Action,"
                        2h 10min
                    ",Movie,"62,263",6.6,"13 Hours,Lone Survivor,Triple Frontier,American Sniper,Black Mass,Mile 22,Zero Dark Thirty,Extraction,Tag,The Siege of Jadotville,Run All Night,Black Hawk Down",12 Strong 
"
                    In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.
            ",Zack Snyder,"David Hayter,Alex Tse,1 more credit",Action,"
                        2h 42min
                    ",Movie,"485,204",7.6,"Watchmen,300,Man of Steel,Batman v Superman: Dawn of Justice,Snow Steam Iron,Sucker Punch,Indómito Mogambo,Show Pieces,Kick-Ass,Wonder Woman,Deadpool,Under the Hood",Watchmen 
"
                    The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.
            ",Andrew Erwin,"Jeremy Camp,Jon Erwin,1 more credit",Drama,"
                        1h 56min
                    ",Movie,"4,133",6.5,"After,Bloodshot,The Lost Husband,The Photograph,The Way Back,All the Bright Places,Five Feet Apart,The Last Summer,Emma.,Midnight Sun,Last Christmas,Dangerous Lies",I Still Believe 
"
                    A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.
            ",Jeff Eastin,"Matt Bomer,Tim DeKay,Willie Garson,See full cast & crew",Comedy,"
                        40min
                    ",Serie,"114,608",8.2,"Lie to Me,The Mentalist,Castle,Bones,Psych,Elementary,Burn Notice,Leverage,Chuck,Suits,Person of Interest,Rizzoli & Isles",White Collar             
"
                    A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.
            ",Robert Doherty,"Jonny Lee Miller,Lucy Liu,Aidan Quinn,See full cast & crew",Crime,"
                        1h
                    ",Serie,"98,608",7.9,"Lie to Me,Castle,The Mentalist,Bones,White Collar,Numb3rs,Person of Interest,Scorpion,CSI: Crime Scene Investigation,Rizzoli & Isles,CSI: NY,NCIS: Los Angeles",Elementary             
"
                    Series inspired by the stories of GK Chesterton; a Catholic priest has a knack for solving mysteries in his English village.
            ",Rachel Flowerday,"Mark Williams,Sorcha Cusack,John Burton,See full cast & crew",Crime,"
                        52min
                    ",Serie,"7,233",7.7,"Midsomer Murders,Death in Paradise,Grantchester,Marple,The Doctor Blake Mysteries,Vera,Inspector Lewis,Rosemary & Thyme,Shakespeare & Hathaway: Private Investigators,Inspector Morse,Miss Fisher's Murder Mysteries,Poirot",Father Brown             
"
                    After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.
            ",Edgar Wright,Edgar Wright,Action,"
                        1h 53min
                    ",Movie,"411,606",7.6,"Kingsman: The Secret Service,Kingsman: The Golden Circle,John Wick,Deadpool,John Wick: Chapter 2,Hot Fuzz,Shaun of the Dead,Dunkirk,John Wick: Chapter 3 - Parabellum,Deadpool 2,Scott Pilgrim vs. the World,21 Jump Street",Baby Driver 
"
                    An assassin hides out in Italy for one last assignment.
            ",Anton Corbijn,"Rowan Joffe,Martin Booth",Crime,"
                        1h 45min
                    ",Movie,"89,720",6.3,"The Peacemaker,The Ides of March,The Men Who Stare at Goats,Michael Clayton,Up in the Air,The Interpreter,The Descendants,Syriana,The Monuments Men,Intolerable Cruelty,Three Kings,Eye See You",The American 
"
                    In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
            ",Spike Jonze,Spike Jonze,Drama,"
                        2h 6min
                    ",Movie,"513,789",8.0,"La La Land,Black Swan,Gravity,Life of Pi,The Imitation Game,Birdman or (The Unexpected Virtue of Ignorance),The Theory of Everything,Eternal Sunshine of the Spotless Mind,The King's Speech,The Shape of Water,The Martian,Arrival",Her 
"
                    At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis.
            ",Michael Berk,"David Hasselhoff,Pamela Anderson,Yasmine Bleeth,See full cast & crew",Action,"
                        1h
                    ",Serie,"23,935",5.3,"Knight Rider,Baywatch: Hawaiian Wedding,Baywatch: Panic at Malibu Pier,Baywatch,MacGyver,The A-Team,Beverly Hills, 90210,Baywatch: Forbidden Paradise,Baywatch Nights,Walker, Texas Ranger,Melrose Place,Magnum, P.I.",Baywatch             
"
                    A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
            ",Alex Garland,Alex Garland,Drama,"
                        1h 48min
                    ",Movie,"455,027",7.7,"Arrival,Annihilation,Blade Runner 2049,Her,The Martian,Gravity,Get Out,Avatar,District 9,Moon,The Imitation Game,The Hateful Eight",Ex Machina 
"
                    A spin-off of ",Gary Glasberg,"Scott Bakula,Rob Kerkovich,CCH Pounder,See full cast & crew",Crime,"
                        42min
                    ",Serie,"14,087",6.8,"NCIS: Los Angeles,NCIS,Bull,Hawaii Five-0,S.W.A.T.,CSI: NY,FBI,CSI: Crime Scene Investigation,CSI: Miami,Blue Bloods,Chicago P.D.,MacGyver",NCIS: New Orleans             
